Carimbo de data/hora,Como você avaliaria sua qualidade de vida? ,Quão satisfeito(a) você está com a sua saúde? ,Em que medida você acha que sua dor (física) impede você de fazer o que você precisa? ,O quanto você precisa de algum tratamento médico para levar sua vida diária? ,O quanto você aproveita a vida? ,Em que medida você acha que a sua vida tem sentido? ,O quanto você consegue se concentrar? ,Quão seguro(a) você se sente em sua vida diária? ,"Quão saudável é o seu ambiente físico (clima, barulho, poluição, atrativos)? ",Você tem energia suficiente para seu dia-a- dia? ,Você é capaz de aceitar sua aparência física? ,Você tem dinheiro suficiente para satisfazer suas necessidades? ,Quão disponíveis para você estão as informações que precisa no seu dia-a-dia? ,Em que medida você tem oportunidades de atividade de lazer? ,Quão bem você é capaz de se locomover? ,Quão satisfeito(a) você está com o seu sono? ,Quão satisfeito(a) você está com sua capacidade de desempenhar as atividades do seu dia-a-dia? ,Quão satisfeito(a) você está com sua capacidade para o trabalho? ,Quão satisfeito(a) você está consigo mesmo? ,"Quão satisfeito(a) você está com suas relações pessoais (amigos, parentes, conhecidos, colegas)? ",Quão satisfeito(a) você está com sua vida sexual? ,Quão satisfeito(a) você está com o apoio que você recebe de seus amigos? ,Quão satisfeito(a) você está com as condições do local onde mora? ,Quão satisfeito(a) você está com o seu acesso aos serviços de saúde? ,Quão satisfeito(a) você está com o seu meio de transporte? ,"Com que frequência você tem sentimentos negativos tais como mau humor, desespero, ansiedade, depressão? "
08/02/2025 15:56:03,Muito/Bom,Muito/Bom,Nada/Muito Ruim,Nada/Muito Ruim,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom
08/02/2025 15:57:19,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Muito Pouco/Ruim,Muito Pouco/Ruim,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito Pouco/Ruim,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Muito Pouco/Ruim,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom
08/02/2025 16:01:15,Muito/Bom,Médio/Nem Ruim Nem Bom,Nada/Muito Ruim,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Completamente/Muito Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom
08/02/2025 16:01:16,Muito/Bom,Muito Pouco/Ruim,Nada/Muito Ruim,Completamente/Muito Bom,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Completamente/Muito Bom,Muito/Bom,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito Pouco/Ruim,Muito/Bom,Completamente/Muito Bom,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Muito/Bom
08/02/2025 16:01:22,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Nada/Muito Ruim,Muito Pouco/Ruim,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito Pouco/Ruim,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Muito Pouco/Ruim
08/02/2025 16:03:37,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Muito Pouco/Ruim,Muito Pouco/Ruim,Muito Pouco/Ruim,Nada/Muito Ruim,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Nada/Muito Ruim,Nada/Muito Ruim,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito Pouco/Ruim,Nada/Muito Ruim,Nada/Muito Ruim,Nada/Muito Ruim,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Completamente/Muito Bom
08/02/2025 16:16:46,Muito/Bom,Muito/Bom,Nada/Muito Ruim,Nada/Muito Ruim,Muito/Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Completamente/Muito Bom,Completamente/Muito Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito Pouco/Ruim
08/02/2025 16:21:34,Muito Pouco/Ruim,Nada/Muito Ruim,Muito Pouco/Ruim,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Muito Pouco/Ruim,Muito Pouco/Ruim,Nada/Muito Ruim,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom,Nada/Muito Ruim,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Muito Pouco/Ruim,Muito/Bom,Completamente/Muito Bom,Completamente/Muito Bom
08/02/2025 16:32:03,Completamente/Muito Bom,Muito/Bom,Nada/Muito Ruim,Nada/Muito Ruim,Completamente/Muito Bom,Completamente/Muito Bom,Médio/Nem Ruim Nem Bom,Completamente/Muito Bom,Completamente/Muito Bom,Completamente/Muito Bom,Muito/Bom,Completamente/Muito Bom,Completamente/Muito Bom,Completamente/Muito Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Completamente/Muito Bom,Médio/Nem Ruim Nem Bom,Completamente/Muito Bom,Completamente/Muito Bom,Completamente/Muito Bom,Completamente/Muito Bom,Muito/Bom
08/02/2025 16:46:57,Muito/Bom,Muito/Bom,Nada/Muito Ruim,Muito Pouco/Ruim,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom,Muito Pouco/Ruim
08/02/2025 18:33:51,Muito/Bom,Muito/Bom,Muito Pouco/Ruim,Nada/Muito Ruim,Muito/Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Completamente/Muito Bom,Médio/Nem Ruim Nem Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Médio/Nem Ruim Nem Bom,Nada/Muito Ruim
08/02/2025 19:01:52,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Muito/Bom,Completamente/Muito Bom,Completamente/Muito Bom,Completamente/Muito Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito Pouco/Ruim,Muito/Bom,Completamente/Muito Bom,Completamente/Muito Bom,Nada/Muito Ruim,Muito/Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Completamente/Muito Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Completamente/Muito Bom,Completamente/Muito Bom,Muito/Bom
08/02/2025 19:09:03,Muito/Bom,Médio/Nem Ruim Nem Bom,Nada/Muito Ruim,Nada/Muito Ruim,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Muito/Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Muito/Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom
08/02/2025 20:14:41,Muito/Bom,Médio/Nem Ruim Nem Bom,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Muito Pouco/Ruim,Nada/Muito Ruim,Muito/Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Muito Pouco/Ruim,Médio/Nem Ruim Nem Bom,Médio/Nem Ruim Nem Bom,Completamente/Muito Bom,Completamente/Muito Bom,Muito/Bom,Muito/Bom
