Time      ,Source          ,Destination     ,Protocol ,Length ,Gap
43.012858 ,10.50.2.42      ,10.50.0.2       ,ICMP     ,   151 ,0.0
49.74658  ,10.50.2.42      ,10.50.0.2       ,ICMP     ,   169 ,0.0
39.334616 ,10.50.2.42      ,10.50.0.2       ,ICMP     ,   171 ,0.0
56.575689 ,10.50.2.42      ,10.50.0.2       ,ICMP     ,   194 ,0.0
59.736423 ,10.50.2.42      ,10.50.0.2       ,ICMP     ,   196 ,0.0
58.722471 ,10.50.2.42      ,10.50.0.2       ,ICMP     ,   197 ,0.0
48.341223 ,10.50.2.42      ,10.50.0.2       ,ICMP     ,   199 ,0.0
57.420792 ,10.50.2.42      ,10.50.0.2       ,ICMP     ,   209 ,0.0
50.724573 ,10.50.2.42      ,10.50.0.2       ,ICMP     ,   224 ,0.0
55.721863 ,10.50.2.42      ,10.50.0.2       ,ICMP     ,   237 ,0.0
 0.651677 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,0.0
 1.666507 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.01483
 2.677419 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.010912
 3.689281 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0118619999999998
 4.703223 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0139420000000006
 5.708683 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0054599999999994
 6.72754  ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0188570000000006
 7.74244  ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0149
 8.753022 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0105819999999994
 9.770426 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0174040000000009
10.786832 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.016406
11.80317  ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0163379999999993
12.823228 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0200580000000006
13.837461 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.014232999999999
14.864319 ,10.50.2.42      ,10.50.3.254     ,ICMP     ,    74 ,1.0268580000000007
