"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.3.13","2.16.197.86","TCP","1414","62958  >  443 [ACK] Seq=1 Ack=1 Win=1020 Len=1360"
"2","0.114009","192.168.3.5","192.168.3.255","UDP","62","2008  >  2008 Len=20"
"3","0.202425","192.168.3.13","172.217.30.35","TCP","54","62951  >  443 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"4","0.218823","192.168.3.13","20.44.10.123","TCP","54","62953  >  443 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"5","0.232215","172.217.30.35","192.168.3.13","TCP","54","443  >  62951 [FIN, ACK] Seq=1 Ack=2 Win=1043 Len=0"
"6","0.232332","192.168.3.13","172.217.30.35","TCP","54","62951  >  443 [ACK] Seq=2 Ack=2 Win=254 Len=0"
"7","0.367358","124.184.102.254","192.168.3.13","BT-DHT","145","Find_node Target=1747850b0000222e00000f7d0000152a000025d3"
"8","0.367967","192.168.3.13","124.184.102.254","BT-DHT","341","Response Nodes=8"
"9","0.386978","20.44.10.123","192.168.3.13","TCP","54","443  >  62953 [FIN, ACK] Seq=1 Ack=2 Win=16386 Len=0"
"10","0.387067","192.168.3.13","20.44.10.123","TCP","54","62953  >  443 [ACK] Seq=2 Ack=2 Win=254 Len=0"
"11","1.138043","192.168.3.5","192.168.3.255","UDP","62","2008  >  2008 Len=20"
"12","1.203821","192.168.3.13","2.16.197.86","TCP","1414","[TCP Retransmission] 62958  >  443 [ACK] Seq=1 Ack=1 Win=1020 Len=1360"
"13","3.395651","192.168.3.13","82.36.218.226","BT-DHT","146","Get_peers Info_hash=17478517af8f8498d1b6f9e5277fb15ac4921a5b"
"14","3.604473","192.168.3.13","2.16.197.86","TCP","1414","[TCP Retransmission] 62958  >  443 [ACK] Seq=1 Ack=1 Win=1020 Len=1360"
"15","3.711369","2.16.197.86","192.168.3.13","TCP","54","[TCP ACKed unseen segment] 443  >  62958 [ACK] Seq=1 Ack=13848 Win=1007 Len=0"
"16","3.714738","2.16.197.86","192.168.3.13","TLSv1.2","89","Application Data"
