"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.50.3.215","224.0.0.251","MDNS","119","Standard query response 0x0000 AAAA fe80::1e46:a793:fd33:e72d A 10.50.3.215"
"2","0.002957","10.50.3.215","224.0.0.251","MDNS","81","Standard query 0x0000 ANY DESKTOP-NSGCAP5.local, ""QM"" question"
"3","0.004898","10.50.3.215","224.0.0.252","LLMNR","75","Standard query 0x3165 ANY DESKTOP-NSGCAP5"
"4","0.481455","10.50.3.68","224.0.0.251","MDNS","151","Standard query 0x000a PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"5","0.651677","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=709/50434, ttl=128 (reply in 6)"
"6","0.654388","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=709/50434, ttl=255 (request in 5)"
"7","1.104010","10.50.2.66","224.0.0.251","MDNS","103","Standard query 0x0000 PTR _raop._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question"
"8","1.666507","10.50.2.42","10.50.3.254","ICMP","74","Echo (ping) request  id=0x0001, seq=710/50690, ttl=128 (reply in 9)"
"9","1.671354","10.50.3.254","10.50.2.42","ICMP","74","Echo (ping) reply    id=0x0001, seq=710/50690, ttl=255 (request in 8)"
"10","2.051825","10.50.3.68","224.0.0.251","MDNS","588","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-63.local PTR, cache flush Android-63.local PTR, cache flush Android-63.local A, cache flush 10.50.3.68 AAAA, cache flush fe80::dd8b:ba75:50e6:b64e NSEC, cache flush {""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""68""}._mi-connect._udp.local NSEC, cache flush 68.3.50.10.in-addr.arpa NSEC, cache flush E.4.6.B.6.E.0.5.5.7.A.B.B.8.D.D.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-63.local"
"11","2.107420","10.50.3.215","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"12","2.456426","10.50.3.84","239.255.255.250","SSDP","142","M-SEARCH * HTTP/1.1 "
"13","2.456426","10.50.3.84","239.255.255.250","SSDP","142","M-SEARCH * HTTP/1.1 "
