PROVA1	PROVA2	TRABALHO	SITUAÇÃO
0.75	0.5	0.33	0
0.9380000000000002	1.0	0.9500000000000001	1
0.9380000000000002	0.9	1.0	1
0.75	0.9500000000000001	0.21000000000000002	1
0.8	1.0	0.33	1
0.42000000000000004	0.5	0.6400000000000001	0
0.8	0.75	0.8300000000000001	1
0.5	0.5	0.1	0
0.25	0.0	0.0	0
0.8667	0.9	0.67	1
0.63	0.5	0.08000000000000002	0
0.6900000000000001	0.5	0.22999999999999998	0
0.8800000000000001	0.7000000000000001	0.8300000000000001	1
0.9400000000000001	1.0	0.32000000000000006	1
0.75	0.5	0.33	0
0.8400000000000001	0.9	0.49000000000000005	1
0.45	0.30000000000000004	0.16000000000000003	0
0.46660000000000007	0.9	0.2	0
0.6200000000000001	0.4	0.39	0
0.8330000000000001	1.0	0.7000000000000001	1
0.875	1.0	0.9900000000000001	1
0.875	0.7000000000000001	0.5	1
0.25	0.0	0.2	0
0.6200000000000001	0.5	0.5900000000000001	0
0.24	0.30000000000000004	0.6000000000000001	0
0.81	1.0	0.5	1
0.643	0.4	0.0	0
0.9400000000000001	1.0	1.0	1
0.5710000000000001	0.7000000000000001	0.33	0
0.8800000000000001	1.0	0.8300000000000001	1
0.48	0.5	0.9400000000000001	1
0.8330000000000001	0.9	0.63	1
0.45	0.0	0.42000000000000004	0
0.41700000000000004	0.7000000000000001	0.8300000000000001	1
0.5599999999999999	1.0	0.8	1
0.786	0.4	0.33	0
0.77	0.6000000000000001	0.9800000000000001	1
0.75	0.75	0.1	0
0.75	1.0	0.27	1
0.643	0.9	0.27	1
0.25	0.15000000000000002	0.30000000000000004	0
0.8130000000000002	0.7000000000000001	0.39	1
0.917	0.9	1.0	1
0.32000000000000006	0.6000000000000001	0.91	1
0.48	0.4	0.06	0
0.6667000000000001	1.0	1.0	1
0.9400000000000001	0.9	0.33	1
1.0	1.0	1.0	1
0.5	0.30000000000000004	0.5700000000000001	0
0.0	0.0	0.0	0
0.625	0.5	0.33	0
0.8570000000000001	0.5	0.44000000000000006	1
0.8800000000000001	0.6000000000000001	0.0	0
0.15000000000000002	0.0	0.26	0
0.5	0.8	0.0	0
0.9380000000000002	1.0	0.9400000000000001	1
0.18000000000000002	0.4	0.9400000000000001	0
0.7333000000000001	1.0	1.0	1
0.9400000000000001	0.9	0.5700000000000001	1
0.46660000000000007	0.30000000000000004	0.67	0
0.5	1.0	0.33	1
0.643	0.6000000000000001	0.75	1
0.9333	1.0	0.33	1
0.6000000000000001	0.6000000000000001	0.6000000000000001	1
0.8	0.9	0.29	1
0.75	1.0	0.45	1
0.48	0.4	0.33	0
0.81	0.9	0.61	1
0.6000000000000001	0.0	0.52	0
0.63	0.0	0.33	0
0.86	0.8	0.0	0
0.2	0.15000000000000002	0.2	0
0.625	0.30000000000000004	0.17	0
0.75	1.0	0.33	1
0.643	0.5	0.0	0
0.7000000000000001	0.45	0.42000000000000004	0
0.875	0.5	0.63	1
0.51	0.7000000000000001	0.87	1
0.8400000000000001	0.8	1.0	1
0.8330000000000001	0.7000000000000001	0.7400000000000001	1
0.45	0.15000000000000002	0.2	0
0.52	0.4	0.73	0
0.8	0.65	0.9500000000000001	1
0.33	0.6000000000000001	0.51	0
0.9500000000000001	0.0	0.15000000000000002	0
0.2	0.15000000000000002	0.05	0
0.714	0.5	0.45999999999999996	0
0.5	0.8	0.21000000000000002	0
0.15000000000000002	0.15000000000000002	0.11000000000000001	0
